id,category_id,localization_code,name,slug
1,1,ar,القرآن الكريم وعلومه,the-noble-qur'an-and-qur'anic-sciences-en
2,1,en,The Noble Qur'an and Qur'anic Sciences,the-noble-qur'an-and-qur'anic-sciences-en
3,1,bn,আল-কুরআনুল কারীম ও কুরআন সংক্রান্ত বিবিধ বিদ্যা,the-noble-qur'an-and-qur'anic-sciences-en
4,1,de,Koran und Koranwissenschaften,the-noble-qur'an-and-qur'anic-sciences-en
5,1,es,El Sagrado Corán y sus ciencias.,the-noble-qur'an-and-qur'anic-sciences-en
6,1,fr,Le Noble Coran et ses sciences,the-noble-qur'an-and-qur'anic-sciences-en
7,1,id,Al-Qur`ān Al-Karīm dan Ilmunya,the-noble-qur'an-and-qur'anic-sciences-en
8,1,ml,"വിശുദ്ധ ഖുർആനും, ഖുർആനിക വിജ്ഞാനങ്ങളും",the-noble-qur'an-and-qur'anic-sciences-en
9,1,pt,O Nobre Qur'an e sua ciência,the-noble-qur'an-and-qur'anic-sciences-en
10,1,ru,Священный Коран и корановедение,the-noble-qur'an-and-qur'anic-sciences-en
11,1,ta,அல்குர்ஆனும் அதன் கலைகளும்,the-noble-qur'an-and-qur'anic-sciences-en
12,1,tr,Kur'an-ı Kerim ve Kur'an İlimleri,the-noble-qur'an-and-qur'anic-sciences-en
13,1,ur,قرآن کریم اور اس کے علوم,the-noble-qur'an-and-qur'anic-sciences-en
14,1,zh,尊贵的《古兰经》及其知识,the-noble-qur'an-and-qur'anic-sciences-en
15,1,hi,पवित्र क़ुरआन तथा उससे संबंधित अन्य विषय,the-noble-qur'an-and-qur'anic-sciences-en
16,1,it,Il Nobile Corano e le sue scienze,the-noble-qur'an-and-qur'anic-sciences-en
17,1,fa,قرآن كريم و علوم آن,the-noble-qur'an-and-qur'anic-sciences-en
18,1,am,የተከበረው ቁርአንና ከቁርአን ጋር የተያያዙ እውቀቶች,the-noble-qur'an-and-qur'anic-sciences-en
19,1,az,Qurani-Kərim və ona aid elimlər,the-noble-qur'an-and-qur'anic-sciences-en
20,1,bs,Kur'an i kur'anske znanosti,the-noble-qur'an-and-qur'anic-sciences-en
21,1,cs,Vznešený Korán a jeho vědy,the-noble-qur'an-and-qur'anic-sciences-en
22,1,ha,Al-qura’ni maigirma da kuma Ilimansa,the-noble-qur'an-and-qur'anic-sciences-en
23,1,ku,قورئانی پیرۆز وزانستەکانی,the-noble-qur'an-and-qur'anic-sciences-en
24,1,nl,De Edele Koran en zijn wetenschappen,the-noble-qur'an-and-qur'anic-sciences-en
25,1,ps,قرآن کریم او علوم یې,the-noble-qur'an-and-qur'anic-sciences-en
26,1,ro,Nobilul Coran și Științele sale,the-noble-qur'an-and-qur'anic-sciences-en
27,1,si,ශුද්ධ වූ අල්කුර්ආනය සහ එහි ක්ෂේත්ර,the-noble-qur'an-and-qur'anic-sciences-en
28,1,so,Quraanka kariimka ah iyo Culuuntiisa,the-noble-qur'an-and-qur'anic-sciences-en
29,1,sq,Shkencat e Kuranit fisnik,the-noble-qur'an-and-qur'anic-sciences-en
30,1,sv,Den ädla Koranen och dess vetenskaper,the-noble-qur'an-and-qur'anic-sciences-en
31,1,sw,Qur'an tukufu na Elimu zake,the-noble-qur'an-and-qur'anic-sciences-en
32,1,tg,Қуръони карим ва илмҳои он,the-noble-qur'an-and-qur'anic-sciences-en
33,1,th,อัลกุรอานุลกะรีมและสาขาวิชาที่เกี่ยวข้อง,the-noble-qur'an-and-qur'anic-sciences-en
34,1,ug,قۇرئان كىرىم ۋە ئۇنىڭغا ئالاقىدار ئىلىملەر,the-noble-qur'an-and-qur'anic-sciences-en
35,1,uz,Қуръони Карим ва у билан боғлиқ илмлар,the-noble-qur'an-and-qur'anic-sciences-en
36,1,vi,Kinh Qur'an và kiến thức,the-noble-qur'an-and-qur'anic-sciences-en
37,1,yo,Kuraani Alapọn-ọnle ati àwọn imọ rẹ,the-noble-qur'an-and-qur'anic-sciences-en
38,2,ar,الحديث وعلومه,the-hadith-and-hadith-sciences-en
39,2,en,The Hadith and Hadith Sciences,the-hadith-and-hadith-sciences-en
40,2,bn,হাদীস ও হাদীস সংক্রান্ত বিবিধ বিদ্যা,the-hadith-and-hadith-sciences-en
41,2,de,Hadithe - die Überlieferungen des Propheten und Hadithwissenschaften,the-hadith-and-hadith-sciences-en
42,2,es,El hadiz (los dichos proféticas) y sus ciencias.,the-hadith-and-hadith-sciences-en
43,2,fr,Le hadith et ses sciences,the-hadith-and-hadith-sciences-en
44,2,id,Hadis dan Ilmu Hadis,the-hadith-and-hadith-sciences-en
45,2,ml,"ഹദീഥും, ഹദീഥ് വിജ്ഞാനങ്ങളും",the-hadith-and-hadith-sciences-en
