id,parent_id,name_ar,name_en,name_bn,name_de,name_es,name_fr,name_id,name_ml,name_pt,name_ru,name_ta,name_tr,name_ur,name_zh,name_hi,name_it,name_fa,name_am,name_az,name_bs,name_cs,name_ha,name_ku,name_nl,name_ps,name_ro,name_si,name_so,name_sq,name_sv,name_sw,name_tg,name_th,name_ug,name_uz,name_vi,name_yo,slug
1,,القرآن الكريم وعلومه,The Noble Qur'an and Qur'anic Sciences,আল-কুরআনুল কারীম ও কুরআন সংক্রান্ত বিবিধ বিদ্যা,Koran und Koranwissenschaften,El Sagrado Corán y sus ciencias.,Le Noble Coran et ses sciences,Al-Qur`ān Al-Karīm dan Ilmunya,"വിശുദ്ധ ഖുർആനും, ഖുർആനിക വിജ്ഞാനങ്ങളും",O Nobre Qur'an e sua ciência,Священный Коран и корановедение,அல்குர்ஆனும் அதன் கலைகளும்,Kur'an-ı Kerim ve Kur'an İlimleri,قرآن کریم اور اس کے علوم,尊贵的《古兰经》及其知识,पवित्र क़ुरआन तथा उससे संबंधित अन्य विषय,Il Nobile Corano e le sue scienze,قرآن كريم و علوم آن,የተከበረው ቁርአንና ከቁርአን ጋር የተያያዙ እውቀቶች,Qurani-Kərim və ona aid elimlər,Kur'an i kur'anske znanosti,Vznešený Korán a jeho vědy,Al-qura’ni maigirma da kuma Ilimansa,قورئانی پیرۆز وزانستەکانی,De Edele Koran en zijn wetenschappen,قرآن کریم او علوم یې,Nobilul Coran și Științele sale,ශුද්ධ වූ අල්කුර්ආනය සහ එහි ක්ෂේත්ර,Quraanka kariimka ah iyo Culuuntiisa,Shkencat e Kuranit fisnik,Den ädla Koranen och dess vetenskaper,Qur'an tukufu na Elimu zake,Қуръони карим ва илмҳои он,อัลกุรอานุลกะรีมและสาขาวิชาที่เกี่ยวข้อง,قۇرئان كىرىم ۋە ئۇنىڭغا ئالاقىدار ئىلىملەر,Қуръони Карим ва у билан боғлиқ илмлар,Kinh Qur'an và kiến thức,Kuraani Alapọn-ọnle ati àwọn imọ rẹ,the-noble-qur'an-and-qur'anic-sciences-en
2,,الحديث وعلومه,The Hadith and Hadith Sciences,হাদীস ও হাদীস সংক্রান্ত বিবিধ বিদ্যা,Hadithe - die Überlieferungen des Propheten und Hadithwissenschaften,El hadiz (los dichos proféticas) y sus ciencias.,Le hadith et ses sciences,Hadis dan Ilmu Hadis,"ഹദീഥും, ഹദീഥ് വിജ്ഞാനങ്ങളും",O Hadith e sua ciência,Хадис и хадисоведение,"ஹதீஸ், ஹதீஸ் கலைகள்",Hadis ve Hadis İlimleri,حدیث و علومِ حدیث,圣训及其知识,हदीस तथा उससे संबंधित अन्य विषय,Il Hadith e le sue scienze,حديث و علوم آن,ሐዲሥና ከሐዲሥ ጋር የተያያዙ እውቀቶች,Hədis və ona aid elimlər,Hadis i hadiske nauke,Hadíth(Výroky Proroka) a jeho vědy,Hadisi da kuma Ilimansa,فەرموودە وزانستەکانی,De Hadith en zijn wetenschappen,حدیث او علوم یې,Hadisul și științele sale,අල්හදීස් සහ එහි ක්ෂේත්ර,Xadiiska iyo Culuuntiisa,Shkencat e Hadithit,Hadith och dess vetenskaper,Hadithi na Elimu zake,Ҳадис ва илмҳои он,หะดีษและสาขาวิชาที่เกี่ยวข้อง,ھەدىس ۋە ئۇنىڭغا ئالاقىدار ئىلىملەر,Ҳадис ва у билан боғлиқ илмлар,Hadith và kiến thức,Hadiisi ati awọn imọ rẹ,the-hadith-and-hadith-sciences-en
3,,العقيدة,The Creed,আকীদা,`Aqidah - die Glaubensgrundlagen,La doctrina Islámica,Le dogme,Akidah,വിശ്വാസം,A crença,Вероубеждение,இஸ்லாமியஅடிப்படைக் கொள்கை,Akide,عقیدہ,信仰,अक़ीदा,Il credo,عقيده,ዐቂዳ (እምነት),Əqidə,Akida (nauka o vjerovanju),Přesvědčení,Aqida,عەقیدە (بیروباوەڕ),Geloofsleer,عقیده,Crezul,ප්රතිපත්තිය,Caqiidada,Akideja,Aqidah - Troslära,Akida- Itikadi-,Ақида,อะกีดะฮฺ (หลักความเชื่อ),ئەقىدە ئىلمى,Ақида,Giáo lý đức tin,Adisọkan,the-creed-en
4,,الفقه وأصوله,Jurisprudence and Juristic Principles,ফিকহ ও উসূলে ফিকহ,Fiqh - die islamische Rechtssprechung und Usul al-Fiqh - allgemeine Grundregeln des islamischen Rechts,La jurisprudencia islámica y sus fundamentos,La jurisprudence et son fondement,Fikih dan Uṣūl Fikih,"കർമ്മശാസ്ത്രവും, കർമ്മശാസ്ത്ര അടിസ്ഥാനങ്ങളും",A Jurisprudência e seus princípios,Фикх и его методология,பிக்ஹும் அதன் அடிப்படைகளும்,Fıkıh ve Fıkıh Usûlü,فقہ و اصولِ فقہ,教法及其基础,फ़िक़्ह तथा उसूल-ए-फ़िक़्ह,La giurisprudenza e i suoi fondamenti,فقه و اصول فقه,ፊቅህና የፊቂህ መርሆዎች,Fiqh və onun üsulu,Islamsko pravo i njegova metodologija,Právní věda a způsoby jejího vyvozování,Fiqihu da Usulunsa,فیقهی شەرعی وبنچینەکانی (الفقه وأصوله),De jurisprudentie en zijn grondbeginsels,فقه او اصول یې,Jurisprudența și bazele acesteia,ආගමික නීති හා එහි මූලධර්ම,Fiqiga iyo usuushiisa,Fikhu dhe usuli-fikh (bazat e fikhut),Fiqh - Islamisk rättslära och dess principer,Fiq'hi na misingi yake.,Фиқҳ ва усули фиқҳ,ฟิกฮ์และหลักวิชาฟิกฮ์,پىقھى ۋە ئۇنىڭ ئۇسۇل قائىدىلىرى,Фиқҳ ва унинг усуллари,Giáo luật thực hành và bằng chứng,Fik'hu ati ìpìlẹ̀ rẹ,jurisprudence-and-juristic-principles-en
5,,الفضائل والآداب,Virtues and Manners,ফযীলত ও শিষ্ঠাচার,Guter Charakter und Benehmen,Las virtudes y las modales,Les vertus et les convenances,Keutamaan dan Adab,ശ്രേഷ്ഠതകളും സ്വഭാവമര്യാദകളും,As virtudes e etiquetas,Достоинства различных дел и этикет,சிறப்புக்களும் ஒழுக்கங்களும்,Faziletler ve Adaplar,فضائل و آداب,尊贵及礼节,फ़ज़ीलतें तथा आदाब,Le virtù e le buone maniere,فضائل و آداب,ትርፍ ተግባራትና ስነ-ስርዓት,Fəzilətli əməllər və ədəb-ərkanlar,Odlike i pravila ponašanja,Přednosti a vychování,Falaloli da Ladabai,فەزڵەکان وئادابەکان,De deugden en etiquette,فضایل او آداب,Virtuți și maniere,මහිමයන් සහ ආචාරධර්ම,Fadaa`isha iyo Aadaabta,Vlera dhe rregullat,Dygder och uppföranden,Mambo mazuri na Adabu- Heshima.,Фазоил ва одоб,คุณธรรมและมารยาท,پەزىلەت ۋە ئەدەپ-ئەخلاق,Фазилат ва одоблар,Ân phúc và lễ nghĩa,Àwọn ìwà dáadáa ati awọn ẹkọ,virtues-and-manners-en
6,,الدعوة والحسبة,Da‘wah and Hisbah,দা‘ওয়াহ্ (আল্লাহর দিকে আহ্বান) ও হিসবাহ (সৎকাজের আদেশ-অসৎকাজের নিষেধ),Da`wah - der Ruf zum Islam und das Gute gebieten und das Schlechte verbieten,La predicación (da’wa) al Islam y al-hisba (predicar por ordenar el bien y condenar el mal).,La prédication et la police religieuse,Dakwah dan Ḥisbah,പ്രബോധനവും പരസ്യശിക്ഷണവും,O chamamento e ordem do bem,Призыв к Аллаху и контроль за соблюдением шариатских норм,அழைப்புப் பணி,Davet ve Hisbe,دعوت و احتساب,诉讼和借贷,आह्वान एवं भलाई का आदेश देने तथा बुराई से रोकने का प्रबंध करना,La predicazione e la vigilanza,دعوت و احتساب,ጥሪና ሰበካ,Dəvət və Allah üçün nəzarət,Islamsko misionarstvo i promicanje pozitivnih vrijednosti,Výzva k Islámu a nařizování vhodného a zakazování zavrženíhodného,Da’awa da Hisbah,بانگخوازی وچاودێری کردن (الحِسبة),De da'wa (uitnodiging tot islam) en de verantwoording,دعوت او حسبه ( امر په معروف او نهي له منکر څخه کله چې دا کار پريښودل شي),Chemarea la Alalh și la ceea ce este bun și oprirea de la ce este rău,ඇරයුම සහ ස්වෙච්ඡා සේවය,Dacwada iyo Xisbada,Daveti - thirrja në fe,"Da'wah - Att kalla till islam, påbjuda det goda och förbjuda det onda",Daa'awa na(kujitolea) kuamrisha mema nakukataza mabaya,Даъват ва ҳисба,อัดดะอฺวะฮ์วัลอิห์ติซาบ(หลักการเรียกร้องเชิญชวน),دەۋەت ۋە ھىسبە(ئىجتىمائىي ئىشلارنى كۈزىتىش),"Даъват, амри маъруф ва наҳйи мункар",Tuyên truyền,Ipepe si oju ọna Ọlọhun ati pipaṣẹ dáadáa ati kikọ ìwà ibajẹ,da‘wah-and-hisbah-en
7,,السيرة والتاريخ,Seerah and History,জীবনী ও ইতিহাস,Sira - die Biographie des Propheten und islamische Geschichte,Biografía y la historia.,La biographie et l'histoire,Sejarah dan Tarikh,നബിചരിത്രവും ചരിത്രവും,A Biografia Profética e a história,Жизнеописание Пророка ﷺ и история,நபியவர்களின் வாழ்க்கையும் வரலாறும்,Biyografi ve Tarih,سیرت و تاریخ,生平和历史,सीरत एवं इतिहास,La biografia e la storia,سيرت و تاريخ,ሲራና ታሪክ,Bioqrafiya və tarix,Životopis i povijest,Životopis Proroka a historie,Sirah da Tarihi,ژیاننامە (سیرەت) ومێژوو,De biografie en geschiedenis,سیرت او تاریخ,Biografia și istoria,ජීවන මඟ සහ ඉතිහාසය,Siirada iyo Taariikhda,Sira dhe historia,Biografi och historia,Historia na Taarekh.,Сират ва таърих,ชีวประวัติและประวัติศาสตร์,تارىخ ۋە تەرجىمىھال,Сийрат ва тарих,Tiểu sử và lịch sử,Itan ìgbésí ayé,seerah-and-history-en
8,1,نزول القرآن وجمعه,Revelation and Collection of the Qur'an,কুরআন নাযিল হওয়া ও তা একত্রিতকরণ,Die Offenbarung des Korans und seine Zusammenstellung,La revelación del Corán y su colección.,La révélation du Noble Coran et son rassemblement,Turunnya Al-Qur`ān dan Pengumpulannya,ഖുർആനിൻ്റെ അവതരണവും ക്രോഡീകരണവും,A revelação do Qur'an e a sua coleção,Ниспослание Корана и его собрание,அல்குர்ஆன் அருளப்படுதலும் ஒன்று திரட்டலும்,Kur'an'ın İnişi ve Toplanması,نزول قرآن اور اس کی تدوین,《古兰经》的降示和汇总,क़ुरआन का अवतरण तथा संकलन,La discesa del Corano e la sua raccolta,نازل شدن قرآن و جمع آورى آن,የቁርአን አወራረድና አሰባሰቡ,Quranın nazil edilməsi və cəm olunması,Objavljivanje Kur'ana i njegovo sakupljanje,Seslání Koránu a jeho shromáždění v jednu knihu,Saukar Al-qur’ani da kuma Tarashi,دابەزین وکۆکردنەوەی قورئان,De openbaring en compilatie van de Koran,د قرآن کریم نزول او راټولول,Revelarea Coranului și culegerea lui,අල්කුර්ආන් පහළ වීම සහ එය ගොනු කිරීම,Quraanka soo dagidiisii iyo aruurintiisii,Zbritja dhe tubimi i Kuranit,Koranens uppenbarelse och dess samling,Kuteremka Qur'an na kukusanywa kwake.,Нузули Қуръон ва ҷамъоварии он,การประทานอัลกุรอานและการรวบรวม,قۇرئان كىرىمنىڭ نازىل بولىشى ۋە توپلىنىشى,Қуръон нозил бўлиши хамда жамланиши,"Kinh Qur'an, sự mặc khải và tập kết",Sisọkalẹ Kuraani ati kiko o jọ,revelation-and-collection-of-the-qur'an-en
9,1,القراءات والتجويد,Modes of Qur'anic Recitation and Tajweed,কিরাআত ও তাজভীদ,Qiraat - Lesarten des Koran und Tajuwid - die Rezitationsregeln,Recitaciones y la pronunciación armoniosa,Les lectures et la récitation distincte,Qiraat dan Tajwid,പാരായണരീതികളും ഉച്ചാരണ നിയമങ്ങളും,Qiraát e Tajwid,Виды чтения Корана (кирааты) и таджвид,ஓதல் முறைகளும் தஜ்வீதும்,Kıraatler ve Tecvid,قراءات و تجوید,阅读和诵读,विभिन्न क़िराअतें एवं तजवीद,Le letture coraniche e le regole di recitazione (taǧwīd),قراءات و تجويد,አቀራርና ተጅዊድ,Quran qiraətləri və təcvid,Kiraeti i tedžvid,Různá čtení Koránu a jeho správná recitace(Tadžwíd),Qira’at da Tajwidi,خوێندنەوەکان وتەجوید,De recitaties en tajweed (correcte uitspraak),قرآءتونه او تجوید,Modalitați de recitare (Qiraat) și Tajwid,අල්කුර්ආන් පාරයන ක්රම සහ එය පාරායනය කිරීමේ නිවැරදි පිළිවෙත,Qiraa`aatka iyo Tajwiidka,Kiraetet dhe texhvidi,Koranens läsesätt och korrekta uttal,Visomo na Tajwiid.,Қироатҳо ва таҷвид,หลักการอ่านและตัจวีด,قىرائەت ۋە تەجۋىد ئىلمى,Қироатлар ва тажвид илми,Các cách xướng đọc Qur'an và ngữ điệu,Àwọn ọ̀nà kíké Kuraani ati kika a dáadáa,modes-of-qur'anic-recitation-and-tajweed-en
10,1,تفسير القرآن,Qur'anic Exegesis,কুরআনের তাফসীর,Tafsir- die Auslegung des Koran,La exégesis del Corán.,L'exégèse du Coran,Tafsir Al-Qur`ān,ഖുർആൻ വ്യാഖ്യാനം,A interpretação do Qur'an,Толкование Корана,அல்குர்ஆன் விளக்கவுரை,Kur'an Tefsiri,قرآن کی تفسیر,《古兰经》注释,क़ुरआन की तफ़सीर,L'esegesi del Corano,تفسير قرآن,የቁርአን ማብራሪያ,Quranın təfsiri,Tumačenje (tefsir) Kur'ana,Výklad Koránu,Tafsirin Al-qur’ani,ڕاڤەکردنی قورئان (تەفسیری قورئان),De exegese (uitleg) van de Koran,د قرآن کریم تفسیر,Interpretarea sensurilor Coranului (Tafsir),අල්කුර්ආන් අර්ථ විග්රහය,Tafsiirka Quraanka,Tefsiri i Kuranit,Tafsir - Förklaring av Koranen,Tafsiri ya Qur'an.,Тафсири Қуръон,อรรถาธิบายอัลกุรอาน,قۇرئان كىرىمنىڭ تەپسىرى,Қуръон тафсири,Giảng giải nội dung ý nghĩa Qur'an,Alaye Kuraani,qur'anic-exegesis-en
