id,chapter_id,localization_id,localization_code,name,slug
1,1,2,en,Revelation,revelation
2,2,2,en,Belief,belief
3,3,2,en,Knowledge,knowledge
4,4,2,en,Ablution,ablution
5,5,2,en,Prayer,prayer
6,6,2,en,Funeral Prayer,funeral-prayer
7,7,2,en,Zakat,zakat
8,8,2,en,Fasting,fasting
9,9,2,en,Hajj,hajj
10,10,2,en,Marriage,marriage
11,11,2,en,Divorce,divorce
12,12,2,en,Business Transactions,business-transactions
13,13,2,en,Inheritance,inheritance
14,14,2,en,Gifts,gifts
15,15,2,en,Wills,wills
16,16,2,en,Vows,vows
17,17,2,en,Oaths,oaths
18,18,2,en,Food,food
19,19,2,en,Drink,drink
20,20,2,en,Clothing,clothing
21,21,2,en,Medicine,medicine
22,22,2,en,Jihad,jihad
23,23,2,en,Government,government
24,24,2,en,Judiciary,judiciary
25,25,2,en,Faith,faith
26,26,2,en,Purification,purification
27,27,2,en,Prayer,prayer
28,28,2,en,Zakat,zakat
29,29,2,en,Fasting,fasting
30,30,2,en,Hajj,hajj
31,31,2,en,Marriage,marriage
32,32,2,en,Divorce,divorce
33,33,2,en,Business,business
34,34,2,en,Inheritance,inheritance
35,35,2,en,Wills,wills
36,36,2,en,Vows,vows
37,37,2,en,Oaths,oaths
38,38,2,en,Food,food
39,39,2,en,Clothing,clothing
40,40,2,en,Good Manners,good-manners
41,41,2,en,The Book of Chapter 1,the-book-of-chapter-1
42,42,2,en,The Book of Chapter 2,the-book-of-chapter-2
43,43,2,en,The Book of Chapter 3,the-book-of-chapter-3
44,44,2,en,The Book of Chapter 4,the-book-of-chapter-4
45,45,2,en,The Book of Chapter 5,the-book-of-chapter-5
46,46,2,en,The Book of Chapter 6,the-book-of-chapter-6
47,47,2,en,The Book of Chapter 7,the-book-of-chapter-7
48,48,2,en,The Book of Chapter 8,the-book-of-chapter-8
49,49,2,en,The Book of Chapter 9,the-book-of-chapter-9
50,50,2,en,The Book of Chapter 10,the-book-of-chapter-10
51,51,2,en,The Book of Chapter 11,the-book-of-chapter-11
52,52,2,en,The Book of Chapter 12,the-book-of-chapter-12
53,53,2,en,The Book of Chapter 13,the-book-of-chapter-13
54,54,2,en,The Book of Chapter 14,the-book-of-chapter-14
55,55,2,en,The Book of Chapter 15,the-book-of-chapter-15
56,56,2,en,The Book of Chapter 16,the-book-of-chapter-16
57,57,2,en,The Book of Chapter 17,the-book-of-chapter-17
58,58,2,en,The Book of Chapter 18,the-book-of-chapter-18
59,59,2,en,The Book of Chapter 19,the-book-of-chapter-19
60,60,2,en,The Book of Chapter 20,the-book-of-chapter-20
61,61,2,en,The Book of Chapter 21,the-book-of-chapter-21
62,62,2,en,The Book of Chapter 22,the-book-of-chapter-22
63,63,2,en,The Book of Chapter 23,the-book-of-chapter-23
64,64,2,en,The Book of Chapter 24,the-book-of-chapter-24
65,65,2,en,The Book of Chapter 25,the-book-of-chapter-25
66,66,2,en,The Book of Chapter 26,the-book-of-chapter-26
