hadith_id,book_id,chapter_id,book_name_en,chapter_name_en,hadith_number,en_translation,arabic_text
4178,1,1,Sahih al-Bukhari,Revelation,4178,,عن جابر رضي الله عنه أن رسول الله صلى الله عليه وسلم مر بالسوق والناس كَنَفَتَيَهِ، فمر بِجَدْيٍ أَسَكَّ ميت، فتناوله فأخذ بأذنه، ثم قال: «أيكم يحب أن يكون هذا له بدرهم؟» فقالوا: ما نحب أنه لنا بشيء وما نصنع به؟ ثم قال: «أتحبون أنه لكم؟» قالوا: والله لو كان حيا ًكان عيباً، إنه أسك فكيف وهو ميت! فقال: «فو الله للدنيا أهون على الله من هذا عليكم».
4179,1,1,Sahih al-Bukhari,Revelation,4179,,"عن ابن عمر رضي الله عنهما قال: لما اشتد برسول الله صلى الله عليه وسلم وجعه، قيل له في الصلاة، فقال: «مروا أبا بكر فليُصَلِّ بالناس» فقالت عائشة رضي الله عنها : إن أبا بكر رجل رقيق، إذا قرأ القرآن غلبه البكاء، فقال: «مُرُوه فليُصَلِّ».
وفي رواية عن عائشة رضي الله عنها ، قالت: قلت: إن أبا بكر إذا قام مقامك لم يُسْمعِ الناس من البكاء."
4181,1,1,Sahih al-Bukhari,Revelation,4181,,عن أبي هريرة رضي الله عنه قال: قال رسول الله صلى الله عليه وسلم : «مَنْ احْتَبَسَ فَرَسًا في سَبِيل الله، إيمانًا بالله، وتَصْدِيقًا بِوَعْدِه، فإن شِبَعَهُ وريَّه ورَوْثَهُ وبَوْلَه في مِيْزَانه يوم القيامة».
4182,1,1,Sahih al-Bukhari,Revelation,4182,,عن أبي هريرة رضي الله عنه قال: جاء رجل إلى رسول الله صلى الله عليه وسلم فقال: يا رسول الله، مَنْ أحقُّ الناس بِحُسن صَحَابَتِي؟ قال: «أمك» قال: ثم مَنْ ؟ قال: «أمك»، قال: ثم مَنْ؟ قال: «أمك»، قال: ثم مَنْ؟ قال: «أبوك». متفق عليه. وفي رواية: يا رسول الله، مَنْ أحقُّ بحُسْنِ الصُّحْبَةِ؟ قال: «أمك، ثم أمك، ثم أمك، ثم أباك، ثم أدْنَاك أدْنَاك».
4187,1,1,Sahih al-Bukhari,Revelation,4187,,عن أبي هريرة - رضي الله عنه- مرفوعاً: «من أنْفَق زوْجَيْن في سَبيل الله نُودِي من أبْوَاب الجنَّة، يا عبد الله هذا خَيْرٌ، فمن كان من أهل الصلاة دُعِي من باب الصلاة، ومن كان من أهل الجِهاد دُعِي من باب الجِهاد، ومن كان من أهل الصيام دُعِي من باب الرَّيَّانِ، ومن كان من أهل الصَّدَقة دُعِي من باب الصَّدَقة» قال أبو بكر رضي الله عنه : بأبي أنت وأمي يا رسول الله! ما على من دُعِي من تلك الأبواب من ضَرورة، فهل يُدْعَى أحَدٌ من تلك الأبواب كلِّها؟ فقال: «نعم، وأرْجُو أن تكون منهم».
4188,1,1,Sahih al-Bukhari,Revelation,4188,,عن أبي يحيى خُرَيْم بن فَاتِك رضي الله عنه مرفوعاً: «مَنْ أَنْفَقَ نَفَقَةً في سَبِيل الله كُتب له سَبْعُمِائَةِ ضِعْفٍ».
4194,1,1,Sahih al-Bukhari,Revelation,4194,,عن عمرو بن عَبَسَة رضي الله عنه قال: سمعت رسول الله صلى الله عليه وسلم يقول: «من رمى بسهم في سبيل الله فهو له عِدْلُ مُحَرَّرَةٍ».
4200,1,1,Sahih al-Bukhari,Revelation,4200,,عن معاذ رضي الله عنه عن النبي صلى الله عليه وسلم قال: «مَنْ قاتل في سَبِيل الله من رَجُل مُسْلم فُوَاقَ نَاقَة، وجَبَتْ له الجنة، ومن جُرح جُرْحًا في سَبِيل الله أو نُكِبَ نَكْبَةً فإنها تَجِيء يوم القيامة كَأَغزَرِ ما كانت: لونُها الزَّعْفَرَانُ، وريُحها كالمِسك».
4217,1,1,Sahih al-Bukhari,Revelation,4217,,عن أنس بن مالك رضي الله عنه مرفوعاً: إن الله عز وجل تابع الوحي على رسول الله صلى الله عليه وسلم قبل وفاته حتَّى تُوُفِّيَ أكثر ما كان الوحي.
4219,1,1,Sahih al-Bukhari,Revelation,4219,,عن جَبَلَةَ بنِ سُحَيْمٍ، قال: أَصَابَنَا عَامُ سَنَةٍ مع ابنِ الزبيرِ؛ فَرُزِقْنَا تمرًا، وكان عبدُ اللهِ بنُ عمرَ رضي الله عنهما يَمُرُّ بنا ونحن نَأْكُلُ، فيقول: لا تُقَارِنُوا، فإنَّ النبيَّ صلى الله عليه وسلم نهى عن القِرَانِ، ثم يقولُ: إلا أَنْ يَسْتَأْذِنَ الرجلُ أَخَاهُ.
4221,1,1,Sahih al-Bukhari,Revelation,4221,,عن أنس بن مالك رضي الله عنه أَنَّ رسولَ اللهِ صلى الله عليه وسلم أُتِيَ بِلَبَنٍ قد شِيبَ بماءٍ، وعن يمينهِ أَعْرَابِيٌّ، وعن يَسَارِه أبو بكرٍ رضي الله عنه فَشَرِبَ، ثم أَعْطَى الأَعْرَابِيَّ، وقال: «الأَيْمَنَ فَالأَيْمَنَ».
4222,1,1,Sahih al-Bukhari,Revelation,4222,,"عن جابرٍ رضي الله عنه : أَنَّ رسولَ اللهِ صلى الله عليه وسلم دَخَلَ يومَ فَتْحِ مَكَّةَ وعليه عِمَامَةٌ سَوْدَاءُ.
عن أبي سعيدٍ عمرو بنِ حُرَيْثٍ رضي الله عنه قال: كَأَنِّي أَنْظُرُ إلى رسولِ اللهِ صلى الله عليه وسلم وعليه عِمَامَةٌ سَوْدَاءُ، قَدْ أَرْخَى طَرَفَيْهَا بَيْنَ كَتِفَيْهِ.
في رواية: أَنَّ رسولَ اللهِ صلى الله عليه وسلم خَطَبَ النَّاسَ، وعليه عِمَامَةٌ سَوْدَاءُ."
4223,1,1,Sahih al-Bukhari,Revelation,4223,,وعن سالم بن عبد الله بن عمر بن الخطاب رضي الله عنهم عن أبيه: أن رسول الله صلى الله عليه وسلم قال: « نِعْمَ الرَّجُلُ عبد الله، لو كان يُصلِّي من الليل» قال سالم: فكان عبد الله بعد ذلك لا يَنامُ من الليل إلا قليلًا.
4225,1,1,Sahih al-Bukhari,Revelation,4225,,عن أنس بن مالك رضي الله عنه أَنَّ رسولَ اللهِ صلى الله عليه وسلم كان يَتَنَفَّسُ في الشَّرَابِ ثَلَاثًا.
